name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,gcc,1,12,894,0.036,0,0,0% 100% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,0.043
binarytrees,gcc,1,16,894,0.704,8552,0,0% 99% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 3% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,0.709
binarytrees,gcc,1,20,894,17.217,131572,0,0% 100% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,17.257
binarytrees,gcc,1,20,894,16.565,131572,0,0% 100% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,16.605
binarytrees,gcc,1,20,894,16.677,131572,0,1% 100% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,16.717
binarytrees,gcc,1,20,894,16.345,131572,0,0% 100% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,16.381
binarytrees,gcc,1,20,894,16.325,131576,0,0% 100% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,16.364
binarytrees,gcc,1,20,894,16.745,131576,0,0% 100% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,16.783
binarytrees,gcc,5,12,1096,0.084,0,0,0% 0% 50% 67% 0% 0% 0% 0% 0% 0% 0% 0% 0% 67% 67% 67% 0% 0% 0% 0% 0% 0% 0% 0%,0.025
binarytrees,gcc,5,16,1096,1.532,368,0,79% 79% 69% 79% 7% 0% 0% 0% 0% 0% 0% 0% 3% 69% 72% 83% 0% 0% 0% 0% 0% 0% 0% 0%,0.286
binarytrees,gcc,5,20,1096,41.139,502388,0,2% 12% 47% 52% 8% 60% 74% 71% 0% 0% 0% 0% 35% 47% 77% 1% 1% 0% 71% 73% 0% 0% 0% 0%,6.559
binarytrees,gcc,5,20,1096,36.838,450908,0,11% 10% 51% 10% 71% 0% 0% 0% 76% 57% 0% 0% 48% 20% 51% 89% 48% 58% 0% 0% 0% 0% 0% 0%,6.186
binarytrees,gcc,5,20,1096,36.078,439252,0,3% 54% 61% 0% 80% 90% 2% 55% 0% 0% 0% 0% 79% 76% 55% 0% 70% 0% 0% 0% 0% 0% 0% 0%,5.811
binarytrees,gcc,5,20,1096,43.131,407188,0,69% 28% 53% 2% 83% 77% 6% 0% 0% 0% 0% 0% 23% 47% 58% 66% 80% 67% 0% 0% 0% 0% 0% 0%,6.595
