name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,gcc,5,12,1096,0.096,0,0,%,0.032
binarytrees,gcc,5,16,1096,1.908,0,0,%,0.361
binarytrees,gcc,5,20,1096,55.335,0,0,%,10.714
binarytrees,gcc,5,20,1096,52.515,0,0,%,10.077
binarytrees,gcc,5,20,1096,53.179,0,0,%,10.315
binarytrees,gcc,5,20,1096,53.987,0,0,%,9.732
binarytrees,gcc,5,20,1096,54.295,0,0,%,10.371
binarytrees,gcc,5,20,1096,48.735,0,0,%,8.655
binarytrees,gpp,2,12,653,0.048,0,0,%,0.055
binarytrees,gpp,2,16,653,1.116,0,0,%,1.122
binarytrees,gpp,2,20,653,25.190,0,0,%,25.235
binarytrees,gpp,2,20,653,26.938,0,0,%,26.966
binarytrees,gpp,2,20,653,25.514,0,0,%,25.544
binarytrees,gpp,2,20,653,23.657,0,0,%,23.681
binarytrees,gpp,2,20,653,23.565,0,0,%,23.584
binarytrees,gpp,2,20,653,23.617,0,0,%,23.640
binarytrees,gpp,6,12,1093,0.060,0,0,%,0.019
binarytrees,gpp,6,16,1093,0.516,0,0,%,0.138
binarytrees,gpp,6,20,1093,11.369,0,0,%,2.402
binarytrees,gpp,6,20,1093,11.521,0,0,%,2.368
binarytrees,gpp,6,20,1093,11.669,0,0,%,2.399
binarytrees,gpp,6,20,1093,11.385,0,0,%,2.430
binarytrees,gpp,6,20,1093,11.861,0,0,%,2.429
binarytrees,gpp,6,20,1093,11.521,0,0,%,2.340
binarytrees,chpl,1,12,1024,0.160,0,0,%,0.096
binarytrees,chpl,1,16,1024,2.520,0,0,%,0.500
binarytrees,chpl,1,20,1024,50.775,0,0,%,9.608
binarytrees,chpl,1,20,1024,46.519,0,0,%,9.120
binarytrees,chpl,1,20,1024,52.483,0,0,%,9.428
binarytrees,chpl,1,20,1024,52.487,0,0,%,9.427
binarytrees,chpl,1,20,1024,46.519,0,0,%,9.134
binarytrees,chpl,1,20,1024,51.803,0,0,%,9.638
binarytrees,gcc,1,12,894,0.048,0,0,%,0.055
binarytrees,gcc,1,16,894,0.932,0,0,%,0.938
binarytrees,gcc,1,20,894,21.905,0,0,%,21.924
binarytrees,gcc,1,20,894,21.357,0,0,%,21.373
binarytrees,gcc,1,20,894,21.489,0,0,%,21.509
binarytrees,gcc,1,20,894,21.273,0,0,%,21.289
binarytrees,gcc,1,20,894,21.321,0,0,%,21.342
binarytrees,gcc,1,20,894,21.693,0,0,%,21.715
chameneosredux,gpp,5,60000,2549,0.348,0,0,%,0.176
chameneosredux,gpp,5,600000,2549,0.308,0,0,%,0.113
chameneosredux,gpp,5,6000000,2549,2.996,0,0,%,0.914
chameneosredux,gpp,5,6000000,2549,2.764,0,0,%,0.906
chameneosredux,gpp,5,6000000,2549,2.148,0,0,%,0.605
chameneosredux,gpp,5,6000000,2549,2.120,0,0,%,0.598
chameneosredux,gpp,5,6000000,2549,6.964,0,0,%,1.749
chameneosredux,gpp,5,6000000,2549,2.304,0,0,%,0.684
chameneosredux,chpl,1,60000,3256,0.248,0,0,%,1.394
chameneosredux,chpl,1,600000,3256,1.844,0,0,%,0.368
chameneosredux,chpl,1,6000000,3256,17.641,0,0,%,3.115
chameneosredux,chpl,1,6000000,3256,17.513,0,0,%,3.073
chameneosredux,chpl,1,6000000,3256,17.445,0,0,%,3.065
chameneosredux,chpl,1,6000000,3256,17.509,0,0,%,3.079
chameneosredux,chpl,1,6000000,3256,17.393,0,0,%,3.043
chameneosredux,chpl,1,6000000,3256,17.637,0,0,%,3.104
chameneosredux,gcc,2,60000,1916,0.532,0,0,%,0.095
chameneosredux,gcc,2,600000,1916,4.592,0,0,%,0.696
chameneosredux,gcc,2,6000000,1916,50.927,0,0,%,7.567
chameneosredux,gcc,2,6000000,1916,50.387,0,0,%,7.397
chameneosredux,gcc,2,6000000,1916,53.355,0,0,%,7.796
chameneosredux,gcc,2,6000000,1916,44.451,0,0,%,6.708
chameneosredux,gcc,2,6000000,1916,46.539,0,0,%,6.965
chameneosredux,gcc,2,6000000,1916,51.775,0,0,%,7.539
fannkuchredux,gcc,2,10,1934,0.276,0,0,%,0.076
fannkuchredux,gcc,2,11,1934,2.728,0,0,%,0.705
fannkuchredux,gcc,2,12,1934,35.406,0,0,%,9.050
fannkuchredux,gcc,2,12,1934,46.007,0,0,%,12.131
fannkuchredux,gcc,2,12,1934,35.406,0,0,%,9.041
fannkuchredux,gcc,2,12,1934,46.087,0,0,%,12.152
fannkuchredux,gcc,2,12,1934,41.103,0,0,%,12.054
fannkuchredux,gcc,2,12,1934,41.947,0,0,%,12.293
fannkuchredux,gpp,7,10,1898,0.100,0,0,%,0.108
fannkuchredux,gpp,7,11,1898,1.144,0,0,%,1.152
fannkuchredux,gpp,7,12,1898,14.649,0,0,%,14.665
fannkuchredux,gpp,7,12,1898,14.733,0,0,%,14.739
fannkuchredux,gpp,7,12,1898,14.681,0,0,%,14.688
fannkuchredux,gpp,7,12,1898,15.057,0,0,%,15.065
fannkuchredux,gpp,7,12,1898,14.697,0,0,%,14.704
fannkuchredux,gpp,7,12,1898,14.717,0,0,%,14.729
fannkuchredux,chpl,1,10,914,0.368,0,0,%,1.264
fannkuchredux,chpl,1,11,914,3.820,0,0,%,0.523
fannkuchredux,chpl,1,12,914,49.203,0,0,%,6.223
fannkuchredux,chpl,1,12,914,49.175,0,0,%,6.222
fannkuchredux,chpl,1,12,914,49.155,0,0,%,6.227
fannkuchredux,chpl,1,12,914,49.203,0,0,%,6.232
fannkuchredux,chpl,1,12,914,49.139,0,0,%,6.211
fannkuchredux,chpl,1,12,914,49.167,0,0,%,6.223
fannkuchredux,gcc,5,10,2262,0.176,0,0,%,0.182
fannkuchredux,gcc,5,11,2262,1.988,0,0,%,1.996
fannkuchredux,gcc,5,12,2262,26.874,0,0,%,26.904
fannkuchredux,gcc,5,12,2262,26.834,0,0,%,26.845
fannkuchredux,gcc,5,12,2262,26.790,0,0,%,26.804
fannkuchredux,gcc,5,12,2262,26.806,0,0,%,26.823
fannkuchredux,gcc,5,12,2262,26.806,0,0,%,26.816
fannkuchredux,gcc,5,12,2262,26.814,0,0,%,26.826
fannkuchredux,gcc,1,10,675,0.260,0,0,%,0.265
fannkuchredux,gcc,1,11,675,3.164,0,0,%,3.169
fannkuchredux,gcc,1,12,675,42.379,0,0,%,42.410
