name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,gcc,5,12,1096,0.096,0,0,%,0.032
binarytrees,gcc,5,16,1096,1.908,0,0,%,0.361
binarytrees,gcc,5,20,1096,55.335,0,0,%,10.714
binarytrees,gcc,5,20,1096,52.515,0,0,%,10.077
binarytrees,gcc,5,20,1096,53.179,0,0,%,10.315
binarytrees,gcc,5,20,1096,53.987,0,0,%,9.732
binarytrees,gcc,5,20,1096,54.295,0,0,%,10.371
binarytrees,gcc,5,20,1096,48.735,0,0,%,8.655
binarytrees,gpp,2,12,653,0.048,0,0,%,0.055
binarytrees,gpp,2,16,653,1.116,0,0,%,1.122
binarytrees,gpp,2,20,653,25.190,0,0,%,25.235
binarytrees,gpp,2,20,653,26.938,0,0,%,26.966
binarytrees,gpp,2,20,653,25.514,0,0,%,25.544
binarytrees,gpp,2,20,653,23.657,0,0,%,23.681
binarytrees,gpp,2,20,653,23.565,0,0,%,23.584
binarytrees,gpp,2,20,653,23.617,0,0,%,23.640
binarytrees,gpp,6,12,1093,0.060,0,0,%,0.019
binarytrees,gpp,6,16,1093,0.516,0,0,%,0.138
binarytrees,gpp,6,20,1093,11.369,0,0,%,2.402
binarytrees,gpp,6,20,1093,11.521,0,0,%,2.368
binarytrees,gpp,6,20,1093,11.669,0,0,%,2.399
binarytrees,gpp,6,20,1093,11.385,0,0,%,2.430
binarytrees,gpp,6,20,1093,11.861,0,0,%,2.429
binarytrees,gpp,6,20,1093,11.521,0,0,%,2.340
binarytrees,gcc,1,12,894,0.048,0,0,%,0.055
binarytrees,gcc,1,16,894,0.932,0,0,%,0.938
binarytrees,gcc,1,20,894,21.905,0,0,%,21.924
binarytrees,gcc,1,20,894,21.357,0,0,%,21.373
binarytrees,gcc,1,20,894,21.489,0,0,%,21.509
binarytrees,gcc,1,20,894,21.273,0,0,%,21.289
binarytrees,gcc,1,20,894,21.321,0,0,%,21.342
binarytrees,gcc,1,20,894,21.693,0,0,%,21.715
binarytrees,chpl,1,12,1024,0.228,8,0,6% 4% 1% 1% 2% 3% 0% 0% 0% 0% 0% 0% 0% 1% 0% 0%,1.412
binarytrees,chpl,1,16,1024,3.704,56856,0,97% 40% 66% 50% 65% 79% 80% 88% 0% 0% 0% 0% 0% 3% 0% 0%,0.652
binarytrees,chpl,1,20,1024,67.204,273232,0,100% 52% 62% 54% 41% 66% 71% 71% 0% 0% 0% 0% 0% 0% 0% 0%,13.030
binarytrees,chpl,1,20,1024,66.608,258580,0,100% 41% 54% 68% 52% 62% 64% 71% 0% 0% 0% 0% 0% 0% 0% 0%,13.051
binarytrees,chpl,1,20,1024,67.128,264932,0,100% 40% 62% 54% 52% 71% 66% 71% 0% 1% 0% 0% 0% 0% 0% 0%,13.050
binarytrees,chpl,1,20,1024,67.256,265592,0,100% 40% 62% 54% 52% 66% 71% 71% 0% 0% 0% 0% 0% 0% 0% 0%,13.039
binarytrees,chpl,1,20,1024,67.424,266896,0,100% 41% 54% 51% 63% 66% 71% 71% 0% 3% 0% 0% 0% 0% 0% 0%,13.040
binarytrees,chpl,1,20,1024,67.072,262588,0,100% 40% 54% 62% 52% 71% 66% 71% 0% 0% 0% 0% 0% 0% 0% 0%,13.042
chameneosredux,gpp,5,60000,2549,0.348,0,0,%,0.176
chameneosredux,gpp,5,600000,2549,0.308,0,0,%,0.113
chameneosredux,gpp,5,6000000,2549,2.996,0,0,%,0.914
chameneosredux,gpp,5,6000000,2549,2.764,0,0,%,0.906
chameneosredux,gpp,5,6000000,2549,2.148,0,0,%,0.605
chameneosredux,gpp,5,6000000,2549,2.120,0,0,%,0.598
chameneosredux,gpp,5,6000000,2549,6.964,0,0,%,1.749
chameneosredux,gpp,5,6000000,2549,2.304,0,0,%,0.684
chameneosredux,chpl,1,60000,3256,0.644,0,0,85% 54% 67% 64% 67% 47% 43% 38% 0% 0% 0% 0% 0% 0% 0% 0%,0.141
chameneosredux,chpl,1,600000,3256,5.864,51884,0,98% 61% 94% 93% 94% 60% 59% 59% 0% 0% 0% 0% 0% 2% 0% 0%,0.949
chameneosredux,chpl,1,6000000,3256,57.712,54208,0,100% 63% 99% 99% 100% 63% 63% 63% 0% 0% 0% 0% 0% 0% 0% 0%,8.867
chameneosredux,chpl,1,6000000,3256,58.116,51904,0,100% 63% 99% 99% 99% 63% 63% 63% 0% 0% 0% 0% 0% 0% 0% 0%,8.930
chameneosredux,chpl,1,6000000,3256,58.096,52224,0,100% 64% 100% 100% 99% 63% 63% 63% 0% 0% 0% 0% 0% 0% 0% 0%,8.912
chameneosredux,chpl,1,6000000,3256,56.760,53924,0,100% 63% 100% 100% 100% 63% 63% 63% 0% 0% 0% 0% 0% 0% 0% 0%,8.735
chameneosredux,chpl,1,6000000,3256,57.596,51880,0,100% 62% 100% 99% 100% 62% 62% 62% 0% 0% 0% 0% 0% 0% 0% 0%,8.906
chameneosredux,chpl,1,6000000,3256,58.096,51884,0,100% 64% 99% 99% 99% 63% 63% 64% 0% 0% 0% 0% 0% 0% 0% 0%,8.912
chameneosredux,gcc,2,60000,1916,0.532,0,0,%,0.095
chameneosredux,gcc,2,600000,1916,4.592,0,0,%,0.696
chameneosredux,gcc,2,6000000,1916,50.927,0,0,%,7.567
chameneosredux,gcc,2,6000000,1916,50.387,0,0,%,7.397
chameneosredux,gcc,2,6000000,1916,53.355,0,0,%,7.796
chameneosredux,gcc,2,6000000,1916,44.451,0,0,%,6.708
chameneosredux,gcc,2,6000000,1916,46.539,0,0,%,6.965
chameneosredux,gcc,2,6000000,1916,51.775,0,0,%,7.539
fannkuchredux,gcc,2,10,1934,0.276,0,0,%,0.076
fannkuchredux,gcc,2,11,1934,2.728,0,0,%,0.705
fannkuchredux,gcc,2,12,1934,35.406,0,0,%,9.050
fannkuchredux,gcc,2,12,1934,46.007,0,0,%,12.131
fannkuchredux,gcc,2,12,1934,35.406,0,0,%,9.041
fannkuchredux,gcc,2,12,1934,46.087,0,0,%,12.152
fannkuchredux,gcc,2,12,1934,41.103,0,0,%,12.054
fannkuchredux,gcc,2,12,1934,41.947,0,0,%,12.293
fannkuchredux,gpp,7,10,1898,0.100,0,0,%,0.108
fannkuchredux,gpp,7,11,1898,1.144,0,0,%,1.152
fannkuchredux,gpp,7,12,1898,14.649,0,0,%,14.665
fannkuchredux,gpp,7,12,1898,14.733,0,0,%,14.739
