name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,php,3,20,483,174.932,1550168,0,98% 4% 1% 0%,175.088
binarytrees,csharpcore,2,20,650,41.268,1230592,0,15% 16% 50% 33%,37.027
binarytrees,hack,2,20,468,98.968,765988,0,1% 100% 0% 1%,99.062
binarytrees,scala,4,20,494,18.840,520808,0,46% 35% 36% 25%,13.526
binarytrees,yarv,4,20,402,155.456,243484,0,0% 30% 70% 0%,155.616
binarytrees,chapel,1,20,554,64.404,264492,0,100% 83% 80% 64%,19.832
binarytrees,java,6,20,583,18.688,515676,0,72% 19% 30% 21%,13.412
binarytrees,scala,2,20,641,36.288,686532,0,85% 87% 72% 73%,11.520
binarytrees,yarv,2,20,413,206.504,432132,0,18% 61% 1% 22%,206.693
binarytrees,perl,3,20,706,716.324,1385276,0,97% 72% 96% 72%,213.118
binarytrees,fsharpcore,1,20,537,18.172,680880,0,46% 43% 18% 7%,16.288
binarytrees,csharpcore,1,20,652,41.808,1764516,0,33% 22% 44% 29%,33.443
binarytrees,hipe,2,20,499,64.900,968816,0,71% 77% 82% 92%,20.316
binarytrees,csharpcore,4,20,955,49.884,802188,0,88% 89% 89% 87%,14.245
binarytrees,gpp,3,20,993,26.364,362676,0,88% 97% 71% 87%,7.744
binarytrees,typescript,1,20,475,57.528,973616,0,1% 57% 44% 2%,56.261
binarytrees,sbcl,1,20,612,26.776,323784,0,12% 1% 1% 88%,26.823
binarytrees,fpascal,1,20,769,38.092,131376,0,1% 0% 100% 1%,38.123
binarytrees,csharpllvm,2,20,650,57.796,454164,0,100% 0% 8% 2%,54.116
binarytrees,erlang,1,20,441,89.220,907220,0,52% 1% 1% 49%,89.297
binarytrees,python3,1,20,596,516.240,804624,0,94% 92% 95% 91%,152.062
binarytrees,ghc,1,20,521,54.576,360468,0,33% 96% 35% 33%,28.019
binarytrees,sbcl,3,20,684,0.000,0,-10,0% 0% 0% 100%,0.012
binarytrees,gcc,1,20,706,38.332,132440,0,100% 1% 1% 0%,38.365
binarytrees,node,1,20,477,56.708,973180,0,2% 0% 100% 2%,55.497
binarytrees,csharpcore,3,20,725,64.812,2920800,0,82% 81% 79% 78%,20.444
binarytrees,fsharpcore,3,20,565,48.392,685008,0,24% 52% 20% 22%,41.394
binarytrees,dart,1,20,503,53.720,598548,0,66% 33% 23% 17%,39.133
binarytrees,php,2,20,472,230.456,440540,0,1% 100% 0% 1%,230.675
binarytrees,fsharp,2,20,515,68.032,278484,0,9% 0% 100% 1%,63.210
binarytrees,scala,5,20,688,393.240,482360,0,72% 71% 70% 72%,140.657
binarytrees,hack,3,20,480,35.508,635032,0,63% 1% 1% 37%,35.553
binarytrees,vw,1,20,722,81.200,331144,0,1% 1% 0% 100%,81.302
binarytrees,lua,2,20,446,421.544,1724000,0,42% 21% 4% 34%,422.031
binarytrees,erlang,2,20,499,112.324,821676,0,93% 93% 93% 99%,29.825
binarytrees,gpp,2,20,553,39.084,199680,0,2% 0% 100% 1%,39.123
binarytrees,go,4,20,688,152.124,361208,0,96% 95% 96% 96%,39.880
binarytrees,jruby,3,20,439,204.636,1444868,0,19% 25% 68% 26%,149.357
binarytrees,go,9,20,548,122.540,295608,0,38% 41% 41% 41%,77.658
binarytrees,go,7,20,567,129.824,286480,0,42% 46% 39% 38%,80.253
binarytrees,ifc,1,20,826,68.136,134076,0,1% 100% 0% 0%,68.174
binarytrees,jruby,5,20,1123,663.804,2295976,0,97% 96% 96% 95%,173.685
binarytrees,clojure,1,20,657,28.164,616160,0,33% 45% 37% 49%,18.485
binarytrees,ghc,4,20,612,65.436,817104,0,72% 92% 80% 72%,20.834
binarytrees,gpp,1,20,796,51.972,2941392,0,99% 97% 97% 97%,13.440
binarytrees,perl,1,20,448,523.252,351036,0,47% 1% 10% 44%,523.551
binarytrees,ocaml,2,20,784,76.996,173372,0,89% 95% 54% 64%,25.817
binarytrees,gnat,5,20,2167,17.400,160616,0,90% 77% 91% 73%,5.333
binarytrees,jruby,1,20,412,489.312,2303556,0,42% 61% 67% 47%,227.792
binarytrees,hack,1,20,506,111.700,766076,0,100% 1% 1% 0%,111.796
binarytrees,yarv,5,20,1123,168.332,243912,0,96% 65% 68% 64%,57.975
binarytrees,yarv,3,20,439,207.532,575052,0,48% 5% 40% 10%,207.755
binarytrees,swift,5,20,936,0.000,0,-11,%,0.000
binarytrees,sbcl,2,20,649,22.548,322012,0,1% 0% 100% 1%,22.589
binarytrees,java,7,20,889,40.096,622328,0,86% 86% 92% 87%,11.510
binarytrees,java,2,20,603,18.688,516836,0,40% 25% 26% 52%,13.340
binarytrees,gcc,3,20,906,10.124,156780,0,91% 77% 59% 83%,3.281
binarytrees,swift,4,20,701,0.000,0,-11,%,0.000
binarytrees,yarv,1,20,412,200.648,432092,0,59% 0% 0% 42%,200.833
binarytrees,csharpllvm,4,20,955,210.452,313192,0,63% 64% 61% 61%,86.582
binarytrees,fsharp,3,20,565,51.088,256192,0,0% 9% 1% 100%,47.512
binarytrees,racket,2,20,640,37.040,420556,0,1% 1% 1% 100%,37.098
binarytrees,typescript,2,20,470,57.232,973680,0,56% 26% 1% 20%,56.037
binarytrees,rust,1,20,792,28.324,219308,0,95% 95% 84% 97%,7.657
binarytrees,fsharpcore,2,20,515,41.920,682888,0,43% 19% 44% 8%,37.337
binarytrees,hipe,1,20,441,38.976,1043472,0,1% 97% 0% 4%,38.988
binarytrees,csharpllvm,3,20,725,971.288,1259240,0,89% 87% 86% 86%,282.028
binarytrees,java,4,20,911,23.236,589976,0,24% 77% 22% 37%,14.567
binarytrees,ifc,2,20,1199,19.180,185084,0,100% 70% 76% 72%,6.076
binarytrees,racket,1,20,495,45.488,478324,0,1% 0% 0% 100%,45.558
binarytrees,java,3,20,584,18.992,517024,0,19% 37% 28% 60%,13.356
binarytrees,fsharp,1,20,537,25.416,160992,0,9% 100% 1% 1%,23.502
binarytrees,go,1,20,516,123.968,281036,0,36% 44% 43% 36%,78.521
binarytrees,clojure,2,20,750,45.652,615132,0,85% 83% 88% 76%,13.807
binarytrees,swift,6,20,490,61.064,104460,0,1% 100% 0% 0%,61.104
binarytrees,go,2,20,694,153.612,369124,0,97% 95% 96% 96%,40.087
binarytrees,gnat,4,20,2167,17.320,160604,0,88% 71% 91% 75%,5.400
binarytrees,gnat,3,20,1342,99.596,658776,0,90% 86% 87% 87%,28.577
binarytrees,gcc,5,20,963,79.616,221620,0,88% 97% 97% 97%,21.136
binarytrees,gpp,7,20,846,6.968,150512,0,100% 0% 0% 1%,6.981
binarytrees,go,5,20,1000,157.636,384112,0,96% 96% 96% 96%,41.347
binarytrees,gnat,1,20,955,39.700,199920,0,1% 0% 1% 100%,39.737
binarytrees,clojure,6,20,705,32.280,609624,0,43% 49% 29% 43%,19.888
binarytrees,php,1,20,504,237.896,440464,0,0% 1% 1% 100%,238.109
binarytrees,ocaml,5,20,496,41.488,263260,0,1% 100% 1% 1%,41.554
binarytrees,swift,7,20,619,105.772,162008,0,62% 97% 69% 98%,32.590
binarytrees,jruby,4,20,402,264.768,2049520,0,32% 55% 42% 33%,168.126
binarytrees,gpp,6,20,892,12.840,298088,0,1% 100% 1% 1%,12.861
binarytrees,csharpllvm,1,20,652,59.976,273112,0,77% 1% 29% 7%,55.043
chameneosredux,chapel,1,6000000,1199,19.020,44480,0,100% 100% 100% 100%,4.785
chameneosredux,gcc,5,6000000,2863,2.256,780,0,100% 97% 97% 98%,0.585
chameneosredux,erlang,1,6000000,734,131.188,28668,0,62% 60% 51% 53%,58.902
chameneosredux,go,1,6000000,1167,16.748,960,0,82% 100% 100% 100%,4.712
chameneosredux,ghc,4,6000000,989,11.060,7564,0,100% 100% 2% 1%,5.507
chameneosredux,rust,2,6000000,2882,7.684,57152,0,98% 98% 97% 98%,1.974
